SMILES,MP,MolLogP,TPSA
Cc1cccc(C)c1I,11.0,2.9080400000000015,0.0
CC(C)(C)C(C)(C)CC,-10.0,3.468700000000003,0.0
C(C(F)F)O,-28.0,0.24380000000000007,20.23
O=[N+]([O-])C([N+]([O-])=O)([N+](=O)[O-])[N+]([O-])=O,14.0,-1.2954999999999997,172.56
Cc1cc(cc(c1)N)C,10.0,1.8856399999999998,26.02
Cc1c(c(c(c(c1F)F)F)F)F,-30.0,2.6905200000000002,0.0
Cc1ccccc1C,-25.0,2.30344,0.0
CC(=C)c1ccccc1,-23.0,2.7197000000000005,0.0
CCc1ccccc1CC,-31.0,2.811400000000001,0.0
CCCCCCCCCCCCCCCCCC,28.0,7.267800000000007,0.0
C1COCCO1,11.8,0.03320000000000001,18.46
FC(F)(F)C(=O)O,-15.0,0.6332999999999998,37.3
N#CCc1ccccc1,-24.0,1.75268,23.79
Cc1ccc(c(c1)Cl)Cl,-15.0,3.301820000000001,0.0
Clc1cccc(Cl)c1,-24.8,2.993400000000001,0.0
OCc1ccccc1,-15.0,1.1789,20.23
c1ccc2c(c1)CC=C2,-2.0,2.2559000000000005,0.0
c1cc(cc(c1)O)C(F)(F)F,-2.0,2.411,20.23
CN(C)C(=O)N(C)C,-1.0,0.22960000000000003,23.550000000000004
BrC(C)C(Br)(Br)C,2.0,3.275800000000001,0.0
Cc1ccccc1c2ccccc2,0.0,3.662020000000002,0.0
CC(C)(C)c1ccccc1O,-7.0,2.6897000000000015,20.23
c1ccnc(c1)CCO,-8.0,0.6163999999999998,33.120000000000005
CCCCCCCCCCCC(=O)OC,5.0,4.080300000000003,26.3
Cc1ccc(C)c(C)c1C,-6.0,2.9202800000000018,0.0
C(CCI)CI,6.0,2.6366000000000014,0.0
CCC(=O)c1ccc(cc1)C,7.0,2.587720000000001,17.07
CC(C)(C)c1cccc(n1)C(C)(C)C,2.0,3.6766000000000023,12.89
CC#CCO,-2.2,0.0020000000000000573,20.23
C1CNCCO1,-5.0,-0.39380000000000015,21.259999999999998
CCc1ccc(cc1)N,-5.0,1.8311999999999997,26.02
CCN,-81.0,-0.03499999999999981,26.02
CCOC(=O)C(C)C,-88.0,1.2055,26.3
CCCC(=O)OCCC(C)C,-73.0,2.375800000000001,26.3
CC(C)COC(=O)C,-99.0,1.2055,26.3
B(OCC)(OCC)OCC,-85.0,1.0808,27.69
c1ccc(cc1)c2ccc(cc2)F,74.0,3.492700000000001,0.0
C#Cc1ccccc1,-45.0,1.6679000000000002,0.0
CCCCC(=O)OCC,-91.0,1.7397,26.3
O=C(CCC)OCCCCC,-73.0,2.5199000000000007,26.3
CC(CC)C(C)(C)C,-112.0,3.0786000000000016,0.0
CC(C)(C)CCC,-124.0,2.832600000000001,0.0
CC(C)CCCC,-118.0,2.832600000000001,0.0
CC(C)(Cl)Cl,-34.0,2.2001,0.0
CCCCSC,-98.0,2.1494999999999997,0.0
C1C=CCC=C1,-49.0,1.8926,0.0
CC1(C)CCCC1,-70.0,2.5866000000000007,0.0
BrC(CC)CC,-126.0,2.5699000000000005,0.0
CCCCCCCCC#N,-34.0,3.260580000000002,23.79
CCCCCCC(=O)Cl,-84.0,2.722200000000001,17.07
CC(C)(C)C1CCCCC1,-41.0,3.6128000000000027,0.0
CCC(C)CCCCCC,-85.0,4.002900000000003,0.0
C=C(C)CCCC,-103.0,2.752700000000001,0.0
CC(C)C(C)(C)CCC,-117.0,3.468700000000003,0.0
CC(CC)C(C)(C)CC,-101.0,3.468700000000003,0.0
C=C(C)C#N,-36.0,1.08608,23.79
Cc1ccc(c(c1)F)[N+](=O)[O-],53.0,2.04232,43.14
CCC(S)CC,-111.0,2.1048,0.0
CC(C)CC1CCCC1,-115.0,3.2227000000000023,0.0
C=C(C)CCCCCC,-78.0,3.5329000000000024,0.0
CC(CC)CC(O)CC,-91.2,2.1935000000000002,20.23
CC=C(/C)C(C)C,-124.0,2.608600000000001,0.0
CC(OC)OC,-113.0,0.6252,18.46
O=[N+]([O-])c2ccccc2c1ccccc1,37.0,3.261800000000002,43.14
CNC,-92.0,-0.1644000000000001,12.03
CCCCCCCCCl,-58.0,3.5857000000000028,0.0
CCCCCCCCS,-49.0,3.276700000000003,0.0
CC(C)(C)C=C,-115.0,2.2184999999999997,0.0
ClCC(Cl)(Cl)Cl,-70.0,2.5954000000000006,0.0
CCCCCCCI,-48.0,3.3918000000000026,0.0
CC(C)CCO,-117.0,1.0248,20.23
COC(=O)c1ccc(cc1)I,115.0,2.0778,26.3
N#CC=CC#N,97.0,0.5897599999999998,47.58
C=CCN,-88.0,0.1311000000000001,26.02
C1C(O1)CCl,-57.0,0.624,12.53
SCCS,-41.0,0.8459999999999999,0.0
Cc1cc(Br)ccc1,-40.0,2.7575200000000004,0.0
O=S(=O)(NC(=O)NCCC)c1ccc(Cl)cc1,128.0,1.7378999999999996,75.27
Cc1cc(C)c(C)cc1,-43.8,2.611860000000001,0.0
BrCCCBr,-34.0,2.1663000000000006,0.0
CCCCC#N,-96.0,1.70018,23.79
C=CC(=O)OCC,-71.0,0.7354999999999999,26.3
CC(C)(C)I,-38.0,2.2199,0.0
C#CC(C)(C)C,-78.0,1.6657,0.0
COCOC,-105.0,0.23670000000000002,18.46
Cc1cc(Cl)ccc1,-48.0,2.6484200000000007,0.0
CCCCCCCC,-57.0,3.3668000000000022,0.0
C1CCCC1,-94.0,1.9505000000000001,0.0
ClC(Cl)C(Cl)(Cl)Cl,-29.0,3.1603000000000003,0.0
c1ccc2c(c1)cccn2,-15.0,2.2348,12.89
CC(C)CC,-160.0,2.0524,0.0
c1c(cc(c(c1[N+](=O)[O-])Cl)[N+](=O)[O-])C#N,141.0,2.028080000000001,110.07
CCC(C)C(CC)C(N)=O,114.0,1.544,43.09
c1ccc(cc1)C(=O)CCCC(=O)O,127.0,2.1242,54.370000000000005
Nc1ccccc1,-6.0,1.2688000000000001,26.02
c1ccc(cc1)C(C#N)c2ccccc2,74.0,3.342080000000002,23.79
CC(F)(F)F,-111.0,1.5686000000000002,0.0
Cc1cccc(c1)C(C)C,-64.0,3.118420000000002,0.0
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,70.0,12.729199999999977,0.0
CC(C)C(=O)OC,-85.0,0.8154,26.3
CCCC(O)CCCC,-40.7,2.3376,20.23
CC1(C)CCCCC1,-33.0,2.976700000000002,0.0
CC(C)(C)C(C)(C)C,101.0,3.0786000000000016,0.0
CC(C)=C/C(C)C,-128.0,2.608600000000001,0.0
CCCCCC(=O)OCCC,-69.0,2.5199000000000007,26.3
CCCCCC#N,-80.0,2.09028,23.79
CCCCCSCCCCC,-51.0,4.100000000000004,0.0
Cc1cc(C)cc(CC)c1,-84.0,2.8658400000000013,0.0
CCCc1ccccc1C,-60.0,2.9475200000000017,0.0
CCC1CCCCC1,-111.0,2.976700000000002,0.0
Cc1ccc(C)cc1CC,-54.0,2.8658400000000013,0.0
CCCC1CCCC1,-117.0,2.976700000000002,0.0
CC(CCC)CCCC,-113.0,3.6128000000000027,0.0
CC(C)CCC(C)(C)C,-106.0,3.468700000000003,0.0
C/C(C)=C(/C)CC,-118.0,2.752700000000001,0.0
CCCCC(C)CCCC,-88.0,4.002900000000003,0.0
CCC(CC)C(C)(C)C,-99.0,3.468700000000003,0.0
c1cc(ccc1C(F)(F)F)F,-42.0,2.8445,0.0
C#CC(C)C,-90.0,1.2755999999999998,0.0
C=CCC1CCCC1,-111.0,2.752700000000001,0.0
c1c(cc(cc1C(=O)Cl)C(=O)Cl)C(=O)Cl,36.0,2.8236000000000008,51.21
CC(C)C(C(C)C)C(C)C,-82.0,3.5706000000000024,0.0
CC(C)(C)C(C)C(C)(C)C,-39.0,3.714700000000003,0.0
CCC#CC(C)C,-117.0,2.0558,0.0
CC=CC(C)CC,-126.0,2.608600000000001,0.0
CC(C)CC=CC,-124.0,2.608600000000001,0.0
CCc1ccccc1Cl,-83.0,2.902400000000002,0.0
CC(O)CC,-115.0,0.7772,20.23
CCCS,-113.0,1.3262,0.0
CC(=CC(C)(C)C)C,-106.0,2.9987000000000013,0.0
CC(C)CC(=O)OCC,-99.0,1.5956000000000001,26.3
CCCCCS,-76.0,2.1064000000000003,0.0
CCCCCCBr,-85.0,2.9616000000000016,0.0
CC#CC,-32.0,1.0296,0.0
CCCCSCCCC,-80.0,3.3198000000000016,0.0
CCc1ccc(cc1)C,-62.0,2.5574200000000005,0.0
CCC#CC,-109.0,1.4197,0.0
CC(C)CCCCCC,-80.0,3.6128000000000027,0.0
CCc2oc1ccccc1c2C(=O)c3ccc(O)cc3,124.0,3.9318000000000026,50.44
ClC=C(/Cl)Cl,-85.0,2.5017000000000005,0.0
CC(=O)OCc1ccccc1,-51.0,1.7496999999999998,26.3
C=CCI,-99.0,1.6074000000000002,0.0
CCOCC,-116.0,1.0428000000000002,9.23
Cc1cc(C)cc(C)c1,-45.0,2.611860000000001,0.0
CCCCS,-116.0,1.7163,0.0
CCCCCCC=O,-43.0,2.1557000000000004,17.07
CC(C)CC(C)(C)C,-107.0,3.0786000000000016,0.0
CCCI,-101.0,1.8314,0.0
CCCCCCCCC=C,-66.0,3.9230000000000036,0.0
CCCCCC,-95.0,2.5866000000000007,0.0
C(Cl)(Cl)(Cl)Br,-6.0,2.709,0.0
CC(C)CCCCCCCCCCCCCCC,6.0,7.1237000000000075,0.0
COCC(=O)O,8.0,-0.2825999999999998,46.53
CCCCCCCCCCCCC,-5.0,5.317300000000005,0.0
CC(=O)OO,0.1,0.02249999999999991,46.53
CCCCCCCCCCC1CCCCC1,-2.0,6.097500000000006,0.0
Ic1ccccc1Cl,1.0,2.9446000000000003,0.0
CCCCCCCCCCCCCl,-9.0,5.146100000000005,0.0
Cc1cc(C)c(C)c(C)c1,-24.0,2.9202800000000018,0.0
c1cc(cnc1)Br,-27.0,1.8441,12.89
CCCCCCCCCCCl,-31.0,4.365900000000004,0.0
CCCCCCCCCCCCCC(=O)OCC,12.0,5.250600000000005,26.3
BrC(Br)CBr,-29.0,2.4972000000000003,0.0
c1cc(c(cc1F)[N+](=O)[O-])F,-12.0,1.873,43.14
C(=C(Cl)Cl)(Cl)Cl,-22.0,3.0682,0.0
CC(C)c1ccc(Cl)cc1,-12.0,3.4634000000000027,0.0
CC(C)OC(=O)CC(=O)C,-27.0,0.9170999999999999,43.370000000000005
Ic1cccc(Br)c1,-9.0,3.053700000000001,0.0
c1ccc(cc1)I,-31.0,2.291200000000001,0.0
CCCCCCCCCCI,-16.0,4.5621000000000045,0.0
N#Cc1ccccc1,-13.0,1.5582799999999999,23.79
CCCCCCCCCC,-30.0,4.147000000000004,0.0
c1ccc2c(c1)C(=O)NS2(=O)=O,229.0,0.11870000000000008,63.24
O=S(C)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl,165.0,0.40430000000000027,103.70000000000002
CCCl,-139.0,1.2451,0.0
Cc1ccccc1S(=O)(=O)N,156.0,0.6424200000000001,60.16
Cc1ccnc(n1)N,160.0,0.36722,51.8
C[C@@H]1CC[C@H](C)C1,-134.0,2.442500000000001,0.0
C=C(C)C(C)CC,-134.0,2.608600000000001,0.0
C=CC(C)(C)CC,-134.0,2.608600000000001,0.0
O=C(N)c1cc(Br)ccc1,155.0,1.548,43.09
C/C(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C,146.3,3.8826000000000027,23.47
C1=CC=C2C(=C1)SC3=CC=CC=C3S2,159.0,4.302400000000001,0.0
CC(C)C(=C)C,-157.0,2.2184999999999997,0.0
C=CCCC=C,-141.0,2.1386000000000003,0.0
CCCC(=C)C,-136.0,2.3626000000000005,0.0
CC(C)CCC,-154.0,2.442500000000001,0.0
CC=C(/C)C,-134.0,1.9725,0.0
C1=CC(=CC=C1C2=CC=C(C=C2)Cl)Cl,149.0,4.660400000000002,0.0
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,147.0,2.0023999999999997,67.59
CCCCC,-130.0,2.1965000000000003,0.0
CCN(CC)CC,-115.0,1.3481,3.24
C(=O)O,8.0,-0.29919999999999997,37.3
CCCCC(=O)O,-34.0,1.2612,37.3
C=CCC,-185.0,1.5824,0.0
C=C,-169.0,0.8022,0.0
n1nc(sc1C)N,224.85,0.4287200000000001,51.8
CC(O)(CC)CC,-24.0,1.5574,20.23
CCOP(=O)(OCC)OCC,-56.0,2.2039999999999997,44.760000000000005
c1ccc2c(c1)CCC2,-51.0,2.1753,0.0
CC1CCC(=O)CC1,-41.0,1.7656,17.07
CC(C)(O)CCCCC,-50.4,2.3376,20.23
Cc1ccc(s1)C,-63.0,2.36494,0.0
CCCc1ccc(C)cc1,-64.0,2.9475200000000017,0.0
CCCCS(=O)CCCC,33.0,2.3353,17.07
CCCCCCCCCCl,-39.0,3.975800000000003,0.0
CC(O)CCCCCC,-32.0,2.3376,20.23
CC1CCCC1(C)C,-22.0,2.832600000000001,0.0
CCCCCCOC=O,-63.0,1.7397,26.3
CC(C)(C)C(C)(C)C(C)C,-36.0,3.714700000000003,0.0
CCOC(=O)Cc1ccccc1,-29.0,1.7922,26.3
Cc1cccs1,-63.0,2.05652,0.0
CCc1ccc(Cl)cc1,-63.0,2.902400000000001,0.0
OCC(O)CO,17.8,-1.6681000000000001,60.69
CCCCOc1ccccc1,-19.0,2.8655000000000017,9.23
Cc1cccc(c1)C(C)(C)C,-41.0,3.2925200000000014,0.0
CC(CCCBr)Br,-34.0,2.9449000000000014,0.0
c1ccccn1,-42.0,1.0816,12.89
Brc1ccccc1,-31.0,2.4491000000000005,0.0
Cc1cccc(C)c1C,-25.0,2.611860000000001,0.0
CCCCCCCCCCC,-26.0,4.537100000000004,0.0
CC(=O)O,16.7,0.09089999999999993,37.3
C(#N)c1c(c(c(c(c1F)F)F)F)F,2.0,2.25378,23.79
c1cc(c(cc1Cl)Cl)CCl,-3.0,3.7322000000000015,0.0
C#CC(C)(C)O,2.6,0.3905,20.23
CC(C)c1cc(cc(c1)C(C)C)C(C)C,-7.0,5.056800000000004,0.0
CC(C)(C)CCC(C)(C)C,-13.0,3.858800000000003,0.0
CCCCC(=O)c1ccccc1,-9.0,3.0595000000000017,17.07
Cc2ccccc2Cc1ccccc1,7.0,3.585820000000002,0.0
c1cnccc1CN,-8.0,0.5403000000000001,38.91
C(COCCO)O,-10.0,-1.0124,49.69
CCCCCCCCCCc1ccccc1,-14.0,5.369800000000005,0.0
c1cc(cc(c1)Cl)N,-10.0,1.9222,26.02
CCCCCCCCCCCC,-9.6,4.9272000000000045,0.0
CN,-93.0,-0.4251,26.02
FC(F)(F)F,-184.0,1.4756999999999998,0.0
CC(C)CCCl,-104.0,2.2713,0.0
CC(C)OC(=O)C,-73.0,0.9579,26.3
C=C(C)C,-140.0,1.5824,0.0
c1(c(c(c(c(c1F)F)F)F)F)C(F)(F)F,-66.0,3.4009,0.0
CCOC(=O)Cl,-81.0,1.3817000000000002,26.3
C/C(C)=C(/C)C(C)C,-113.0,2.9987000000000013,0.0
CC(=C=C)C,-114.0,1.7375,0.0
CCC(CC)CC,-119.0,2.832600000000001,0.0
CCCSSCCC,-86.0,3.187800000000002,0.0
O=C(O)CCCCCCCCCCCCCCCCCC,69.0,6.722600000000008,37.3
C(C(=O)N)(Cl)Cl,99.0,0.2754000000000002,43.09
CC(C)(C)CC=C,-137.0,2.608600000000001,0.0
CC(C)CCCCCCC,-75.0,4.002900000000003,0.0
CC(C)C(CC)C(C)C,-122.0,3.324600000000002,0.0
CCC1CCCC1,-138.0,2.5866000000000007,0.0
CC(C)c1ccccc1Cl,-74.0,3.4634000000000027,0.0
CC(CC)CCCCC,-108.0,3.6128000000000027,0.0
CC(C)C1CCCC1,-111.0,2.832600000000001,0.0
CC1CCC(C)(C)C1,-142.0,2.832600000000001,0.0
CC1(C)CC=CCC1,-74.0,2.752700000000001,0.0
CC(C)CC(C)(C)CC,-113.0,3.468700000000003,0.0
C=CC=CC,-87.0,1.7485,0.0
C(F)(Br)(Br)Br,-74.0,2.7519,0.0
CC=1CCCC=1C,-90.0,2.5067000000000004,0.0
BrC(=C)CC,-133.0,2.3050000000000006,0.0
CC(C)CC#C,-105.0,1.6657,0.0
CCC=CC(C)C,-142.0,2.608600000000001,0.0
C=CCNCC=C,-88.0,0.948,12.03
CCC,-188.0,1.4163,0.0
CCCCBr,-112.0,2.1814,0.0
C1CCC1,-91.0,1.5604,0.0
O=C(O)CCCCCCCCCCCCCCCCCCC,75.0,7.112700000000008,37.3
CCCCCI,-86.0,2.611600000000001,0.0
C/C(C)=CCCC,-130.0,2.752700000000001,0.0
CCCC#CC,-90.0,1.8098,0.0
CCCC=CCC,-137.0,2.752700000000001,0.0
CN1CCN(CC1)C2=Nc4cc(Cl)ccc4Nc3ccccc23,183.5,3.7227000000000023,30.869999999999997
CCC(CBr)Br,-65.0,2.554800000000001,0.0
C=CCBr,-119.0,1.5673,0.0
CC(=O)OCC,-84.0,0.5694,26.3
CC(C)(C)OC,-109.0,1.4313,9.23
BrCC,-119.0,1.4012,0.0
CCO,-114.0,-0.0014000000000000123,20.23
CCC(=O)O,-20.8,0.481,37.3
CC=C/CC,-151.0,1.9725,0.0
C1CC1,-127.15,1.1703,0.0
CCCCCCC,-91.0,2.976700000000002,0.0
Cc2ccc(Cc1ccccc1)cc2,5.0,3.585820000000002,0.0
C1CCCO1,-108.0,0.7968,9.23
CCCCCCC=C,-102.0,3.142800000000002,0.0
CC=1CCCCC=1,-120.0,2.5067000000000004,0.0
C=CCCCC,-140.0,2.3626000000000005,0.0
C=C(C)C(=O)OC,-48.0,0.7355,26.3
c1ccc2cnccc2c1,26.0,2.2348,12.89
CO,-98.0,-0.3915,20.23
CC(CBr)Br,-55.0,2.1647,0.0
c1c(cc(cc1O)O)O,218.0,0.8034000000000001,60.69
OC(CN)c1ccccc1,57.0,0.6787,46.25
c1ccnc(c1)C(=O)O,137.0,0.7797999999999998,50.19
NCCCNCCCCN,23.5,-0.3362999999999989,64.07
c1cnccc1N,159.0,0.6638000000000001,38.91
COc1cc(ccc1O)CC(=O)O,143.0,1.0279,66.76
CC(=O)NCCCCCC(=O)O,104.0,0.7674999999999998,66.4
Cc2cc3c1c(cc(cc1O)CCCCC)OC(C)(C)c3cc2,76.5,5.727820000000004,29.46
CNC(=O)Oc1cccc2CC(C)(C)Oc12,151.5,2.1183,47.56
CC1(C2CCC(O1)(CC2)C)C,1.0,2.7441000000000013,9.23
COP(=S)(OC)SCC(=O)NC,51.5,0.9828999999999999,47.56
c1ccc(cc1)c2ccc(cc2)CC(=O)O,161.0,2.9807000000000006,37.3
Cc1cc(ccc1SC)OP(=S)(OC)OC,7.0,3.6130200000000023,27.69
Cc1ccc(cc-2c(ccc12)C)C(C)C,32.0,4.531640000000003,0.0
c1ccc2c(c1)c(c[nH]2)CO,98.0,1.6601999999999995,36.019999999999996
c1ccc2c(c1)c(c[nH]2)CCC(=O)O,134.0,2.1850999999999994,53.09
S=P(Oc1ccc(cc1)[N+]([O-])=O)(OC)OC,36.0,2.490900000000001,70.83
CC(=O)NBr,104.0,0.43240000000000006,29.1
COc1ccc(cc1OC)Cc2c3cc(c(cc3ccn2)OC)OC,147.0,3.860000000000004,49.81
O=C2c1ccccc1C(=O)C2c3ccccc3,149.5,2.849400000000001,34.14
CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,147.5,6.445800000000007,43.7
NS(=O)(=O)Cc2noc1ccccc12,162.0,0.6163,86.19000000000001
Cc1ccc(cc1)N(CC2=NCCN2)c3cc(O)ccc3,174.5,2.840420000000001,47.86
O=C1NC(=O)NC(=O)C1(CC)C2=CCCCC2,172.5,1.2491999999999994,75.27000000000001
Cc1cc(n[nH]1)C,107.0,1.0265399999999998,28.68
Clc1ccc(cc1)C(C(Cl)Cl)c2ccc(Cl)cc2,109.0,5.929000000000002,0.0
CC[N+](=O)[O-],-89.0,0.2829999999999999,43.14
CC1(O)CCC(CC1)C(C)(C)O,158.0,1.6985,40.46
O=C3c1ccccc1C(=O)c2c3ccc(C)c2N,205.0,2.35262,60.16
Cc1cccc(c1O)C(=O)O,165.0,1.3988200000000002,57.53
C(#N)C1=C(C(=O)C(=C(C1=O)Cl)Cl)C#N,215.0,1.17116,81.72
c1ccc(cc1)NC(=O)c2ccccc2O,137.0,2.6445000000000003,49.33
COc1c(Cl)cc(Cl)cc1Cl,61.0,3.655400000000001,9.23
CC(=O)c1cccs1,10.0,1.9507,17.07
O=[N+]([O-])c1cc(cc([N+]([O-])=O)c1O)[N+]([O-])=O,122.0,1.1168000000000005,149.65
c1ccc(cc1)c2nc(nc(n2)N)N,227.0,0.7029999999999998,90.71
Cc1ccc2c(c1)ccc(=O)o2,76.0,2.1014199999999996,30.21
c1ccc(cc1)C(=O)OC(=O)c2ccccc2,42.0,2.6838000000000006,43.370000000000005
CC(CC)=NO,-29.5,1.2465,32.59
